,id,Name,lat,long,source_fil,clinic_200m,convenience_store_200m,school_200m,university_200m,gov_service_200m,Hospital_200m,mall_200m,night_club_200m,public_park_200m,restaurant_200m,supermarket_200m,Airport_200m,E_railway_200m,railway_200m,clinic_500m,convenience_store_500m,school_500m,university_500m,gov_service_500m,Hospital_500m,mall_500m,night_club_500m,public_park_500m,restaurant_500m,supermarket_500m,Airport_500m,E_railway_500m,railway_500m,clinic_1000m,convenience_store_1000m,school_1000m,university_1000m,gov_service_1000m,Hospital_1000m,mall_1000m,night_club_1000m,public_park_1000m,restaurant_1000m,supermarket_1000m,Airport_1000m,E_railway_1000m,railway_1000m
21,1017,Sinthanee Residence Tower,13.83346897,100.6628382,id_1017.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,1018,Siri at Sukhumvit,13.72242777,100.5800766,id_1018.shp,0,2,0,0,0,0,0,2,0,5,0,0,0,0,1,5,2,0,0,0,1,4,0,32,3,0,0,0,5,9,8,0,0,2,4,7,0,78,5,0,0,0
23,1019,Siri On 8,13.7369812,100.556135,id_1019.shp,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,10,0,0,0,0,3,22,0,58,1,0,0,0,4,47,2,0,0,1,0,85,1,135,3,0,0,0
24,102,Baan Ratchada,13.7878704,100.5902532,id_102.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,10,4,0,0,0,0,1,0,5,0,0,0,0
25,1020,Siri Residence,13.72820428,100.5682976,id_1020.shp,0,2,0,0,0,0,0,1,0,3,0,0,0,0,2,12,3,0,0,0,3,6,1,28,2,0,0,0,4,17,2,0,0,0,1,30,0,119,6,0,0,0
26,1021,SiriMetro Ratchada - Vipawadee,13.79613772,100.5647704,id_1021.shp,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,0,0,1,6,0,0,0,0
27,1022,Sky Walk Condominium,13.7144886,100.5935367,id_1022.shp,2,3,0,0,0,0,0,4,0,13,1,0,0,0,0,5,1,0,0,0,0,0,0,7,1,0,0,0,0,13,5,0,0,2,0,0,0,21,0,0,0,0
28,1023,Skyrise Avenue Sukhumvit 64,13.68397362,100.6082546,id_1023.shp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,1,3,3,0,0,0,0,0,0,2,0,0,0,0
29,1024,Smart Condo Rama 2,13.66036715,100.4273489,id_1024.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,1,0,2,0,0,0,0,1,5,4,0,1,1,0,0,0,6,0,0,0,0
30,1025,Smart Condo Watcharapol,13.85817604,100.6462864,id_1025.shp,2,1,0,0,0,0,0,1,0,5,1,0,0,0,1,4,0,0,0,0,0,0,0,10,2,0,0,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0
31,1026,Smart Z Onnuch,13.72116259,100.7336258,id_1026.shp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,2,0,0,2,1,0,0,0
32,1027,SO Origin Phahol 69 Station,13.89018024,100.604549,id_1027.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,1028,SOCIO Reference 61,13.72473106,100.583112,id_1028.shp,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,7,2,0,0,0,4,6,0,41,5,0,0,0,2,8,6,0,0,1,2,25,0,82,2,0,0,0
34,1029,SOCIO Ruamrudee,13.73586837,100.5509872,id_1029.shp,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,24,0,0,0,0,3,21,2,0,0,0,3,60,1,108,6,0,0,0
35,103,Baan Rimtarn,13.7234567,100.6769403,id_103.shp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0
36,1030,SOHO Bangkok Ratchada,13.77824366,100.5758953,id_1030.shp,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,6,1,0,1,0,0,2,0,5,0,0,0,0,0,15,6,0,0,0,1,4,0,8,3,0,0,0
37,1031,Somkid Gardens,13.74607552,100.5454835,id_1031.shp,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,7,1,0,0,0,5,5,0,33,2,0,0,0,4,24,2,0,0,3,5,33,0,83,3,0,0,0
38,1032,Somkid Place,13.74824971,100.5448999,id_1032.shp,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,1,0,17,2,0,0,0,5,23,5,0,0,3,7,15,0,71,2,0,0,0
39,1034,Sribumpen Condo Home,13.71810723,100.5507869,id_1034.shp,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,8,0,0,0,0,2,6,6,0,0,2,1,2,1,47,0,0,0,0
40,1035,Srivara Mansion,13.77023273,100.5699614,id_1035.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,9,2,0,0,0,1,13,5,0,0,0,0,0,0,9,0,0,0,0
41,1036,Sriwara Garden Condominium,13.77183416,100.6120612,id_1036.shp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,4,1,0,0,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0
42,1037,St. Charm,13.7020552,100.6544495,id_1037.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
43,1038,St. Louis Grand Terrace,13.71933793,100.5267678,id_1038.shp,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,4,6,1,0,0,0,3,0,18,0,0,0,0,8,17,6,1,0,0,0,13,0,73,3,0,0,0
44,1039,Star View,13.68794635,100.5181273,id_1039.shp,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,104,Baan Samsen,13.7910183,100.5162455,id_104.shp,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0
46,1040,Studio One Studio Zone,13.7782799,100.6144501,id_1040.shp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,1,0,1,0,7,2,0,0,0
47,1041,Suan Thon Park Condo,13.65250352,100.4878251,id_1041.shp,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,6,1,1,0,0,0,1,0,6,1,0,0,0
48,1042,Sucharee Life 2 Laksi - Chaengwattana,13.88792804,100.5772489,id_1042.shp,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0
49,1043,Sukhapiban 3 Mansion,13.7611596,100.647982,id_1043.shp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,4,1,0,0,0
50,1044,Sukhumvit Casa,13.73618677,100.5567722,id_1044.shp,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,9,0,0,0,0,3,15,0,51,1,0,0,0,3,46,1,0,0,1,0,101,1,139,3,0,0,0
51,1045,Sukhumvit City Resort,13.7468873,100.5566774,id_1045.shp,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,6,3,0,0,1,0,10,0,28,0,0,0,0,4,36,1,0,0,4,0,57,0,87,3,0,0,0
52,1046,Sukhumvit Garden Place,13.6979636,100.6175648,id_1046.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
53,1047,Sukhumvit House,13.73853661,100.5647707,id_1047.shp,0,2,0,0,0,0,0,7,0,8,0,0,0,0,2,22,2,0,0,1,1,30,0,65,0,0,0,0,3,37,2,1,0,1,4,40,1,120,3,0,0,0
54,1048,Sukhumvit Living Town,13.74614313,100.5621664,id_1048.shp,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,9,2,1,0,0,0,1,0,15,0,0,0,0,1,39,4,0,0,2,3,52,0,110,2,0,0,0
55,1049,Sukhumvit Park,13.73618022,100.5573398,id_1049.shp,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,14,0,0,0,0,3,19,0,46,1,0,0,0,2,40,1,0,0,1,0,102,1,146,3,0,0,0
56,105,Baan Saraan,13.7459913,100.5691177,id_105.shp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,9,0,0,0,0,2,22,3,0,0,4,2,8,0,47,1,0,0,0
57,1050,Sukhumvit Plus,13.71294693,100.5924187,id_1050.shp,2,1,0,0,0,0,0,2,0,8,1,0,0,0,0,7,1,0,0,0,0,2,0,11,1,0,0,0,0,13,6,0,0,2,0,0,0,26,0,0,0,0
58,1051,Sukhumvit Suite,13.7428816,100.5574566,id_1051.shp,0,4,0,0,0,0,0,7,0,15,0,0,0,0,0,20,1,0,0,0,0,53,0,61,1,0,0,0,6,41,3,1,0,3,3,45,0,101,2,0,0,0
59,1052,Suksawat Modern Condo View,13.6690022,100.5118535,id_1052.shp,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
60,1053,Sun City MRT Yaek Fai Chai,13.7530626,100.4680696,id_1053.shp,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,14,7,0,0,0,0,0,1,1,0,0,0,0
61,1054,Sunshine Condominium,13.6654946,100.6325928,id_1054.shp,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,2,4,0,0,1,0,0,0,2,0,0,0,0
62,1055,Supakarn Condominium,13.71828727,100.5103435,id_1055.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,14,2,0,0,0,0,19,17,0,0,1,2,4,0,35,3,0,0,0
63,1056,Supalai Casa Riva,13.69575351,100.4938286,id_1056.shp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
64,1058,Supalai City Resort Rama 8,13.77394416,100.4907834,id_1058.shp,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,12,6,1,0,0,0,1,1,3,0,0,0,0
65,1059,Supalai City Resort Ramkhamhaeng,13.7521021,100.611219,id_1059.shp,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,0,0,0,1,4,1,0,2,0,0,0,0,0,0,0,0
66,106,Baan Sathorn,13.7206011,100.5455594,id_106.shp,0,1,0,0,0,0,0,1,0,11,0,0,0,0,2,2,1,0,0,0,0,1,1,11,0,0,0,0,0,8,5,0,0,1,1,4,0,72,1,0,0,0
67,1060,Supalai City Resort Ratchada - Huaykwang,13.77157956,100.5774833,id_1060.shp,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,12,2,0,1,0,1,1,0,12,2,0,0,0
68,1061,Supalai City Resort Ratchayothin - Phaholyothin 32,13.83410446,100.5785303,id_1061.shp,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,4,0,15,0,0,0,0
69,1062,Supalai Cute Ratchayothin - Phaholyothin34,13.83782916,100.5815527,id_1062.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,5,3,0,0,1,0,3,0,15,0,0,0,0
70,1063,Supalai Elite Phayathai,13.7571301,100.5394347,id_1063.shp,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,9,0,0,0,0,5,26,3,0,1,1,2,4,1,48,1,0,0,0
71,1064,Supalai Elite Sathorn - Suanplu,13.7210364,100.5371274,id_1064.shp,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,12,0,0,0,0,13,20,5,1,0,0,0,21,1,117,6,0,0,0
72,1065,Supalai Elite Surawong,13.7304275,100.5228442,id_1065.shp,0,3,0,0,1,0,0,0,0,4,0,0,0,0,4,8,4,1,0,0,0,0,0,28,0,0,0,0,8,22,9,0,1,2,0,30,1,160,6,0,0,0
73,1066,Supalai Lite Ratchada - Naradhiwas - Sathon,13.70244996,100.5417269,id_1066.shp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,7,0,1,1,0,0,0,39,2,0,0,0
74,1067,Supalai Lite Sathorn - Charoenrat,13.70134618,100.5169512,id_1067.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,2,0,0,7,4,0,0,0
75,1068,Supalai Loft @Talat Phlu Station,13.711346,100.4801725,id_1068.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,11,6,0,0,2,0,0,0,4,0,0,0,0
76,1069,Supalai Loft Prajadhipok - Wongwian Yai,13.72913976,100.4945712,id_1069.shp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,0,0,4,0,0,0,0,0,13,12,2,0,0,0,0,0,11,1,0,0,0
77,107,Baan Sathorn Chaopraya,13.71881783,100.5091026,id_107.shp,0,2,0,0,0,0,1,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,5,2,0,0,0,0,18,14,0,0,1,2,4,0,36,3,0,0,0
78,1070,Supalai Oriental Place Sathorn - Suanplu,13.7198082,100.5402726,id_1070.shp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,14,0,0,0,0,1,7,4,1,0,1,1,5,0,76,0,0,0,0
79,1071,Supalai Oriental Sukhumvit 39,13.7449074,100.5733995,id_1071.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,3,1,0,0,0,1,13,4,1,0,1,2,6,0,25,1,0,0,0
80,1072,Supalai Park Asoke-Ratchada,13.7560598,100.5609304,id_1072.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,11,4,0,1,1,2,0,0,14,1,0,0,0
81,1073,Supalai Park Ekkamai - Thonglor,13.7431783,100.5891111,id_1073.shp,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,2,0,0,0,0,1,4,2,0,0,6,0,2,0,11,0,0,0,0
82,1074,Supalai Park Kaset,13.83881782,100.5807888,id_1074.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,5,2,0,0,1,0,4,0,18,0,0,0,0
83,1075,Supalai Park Phaholyothin,13.8229339,100.5644709,id_1075.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,1,0,1,1,0,17,3,0,0,0
84,1076,Supalai Park Ratchaphruek - Phetkasem,13.7188076,100.4561478,id_1076.shp,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,1,0,0,0,1,0,3,0,0,0,0,0,6,2,0,0,1,0,3,0,14,1,0,0,0
85,1077,Supalai Park Ratchayothin,13.83079821,100.5617319,id_1077.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,0,1,0,13,1,0,0,0
86,1078,Supalai Park Srinakarin,13.67226908,100.6445496,id_1078.shp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,1,2,0,0,0
87,1079,Supalai Place,13.74291867,100.5735256,id_1079.shp,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,12,6,1,0,1,2,8,0,39,1,0,0,0
88,108,Baan Sindhorn,13.7382636,100.5434503,id_108.shp,0,0,0,0,0,0,0,1,0,14,2,0,0,0,2,4,0,0,0,0,0,3,0,18,1,0,0,0,4,8,3,0,0,1,6,14,1,63,3,0,0,0
89,1080,Supalai Premier @ Asoke,13.7479197,100.5653389,id_1080.shp,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,1,0,2,0,0,0,3,0,0,0,0,1,22,5,0,0,2,2,8,0,49,1,0,0,0
90,1081,Supalai Premier Charoen Nakhon,13.73016394,100.5070069,id_1081.shp,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,3,1,0,0,0,0,12,7,0,1,0,2,6,0,45,2,0,0,0
91,1082,Supalai Premier Narathiwas - Sathorn,13.6986608,100.5412098,id_1082.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,30,2,0,0,0,2,2,7,0,0,0,0,0,0,6,0,0,0,0
92,1083,Supalai Premier Place Asoke,13.74453657,100.5631246,id_1083.shp,1,3,0,0,0,0,0,0,0,5,0,0,0,0,1,11,1,1,0,2,0,1,0,20,0,0,0,0,2,42,5,0,0,1,3,66,0,118,1,0,0,0
93,1084,Supalai Premier Ratchathewi,13.75479,100.5260011,id_1084.shp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,3,0,0,0,0,0,0,8,0,0,0,0,1,19,7,2,0,2,0,11,0,26,0,0,0,0
94,1085,Supalai Premier Si Phraya-Samyan,13.730868,100.5222225,id_1085.shp,0,2,0,0,1,0,0,0,0,8,0,0,0,0,5,8,3,1,0,0,0,2,0,23,0,0,0,0,4,25,10,0,1,1,1,19,1,148,7,0,0,0
95,1086,Supalai Prima Riva,13.6885094,100.5492497,id_1086.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0
96,1087,Supalai Riva Grande,13.67771936,100.547712,id_1087.shp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0
97,1088,Supalai River Place,13.71057746,100.5029566,id_1088.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,15,7,0,0,0,0,5,0,38,1,0,0,0
98,1089,Supalai River Resort,13.7076375,100.496204,id_1089.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,1,1,3,0,34,0,0,0,0
99,109,Baan Siri 24,13.7261917,100.5679446,id_109.shp,0,3,0,0,0,0,0,1,0,2,0,0,0,0,1,5,4,0,0,0,1,2,1,22,0,0,0,0,5,19,2,0,0,0,2,30,0,100,6,0,0,0
100,1090,Supalai Veranda Rama 9,13.7566648,100.5832009,id_1090.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,0,0,0,3,0,1,0,3,0,0,0,0
101,1091,Supalai Veranda Ramkhamhaeng,13.75855107,100.6283238,id_1091.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,2,1,0,0,0,1,9,1,0,0,1,0,0,0,11,0,0,0,0
102,1092,Supalai Veranda Ratchavipha - Prachachuen,13.81810895,100.5347021,id_1092.shp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,1,0,0,1,0,1,0,0,0,0
103,1093,Supalai Wellington,13.76628084,100.5792805,id_1093.shp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,1,0,0,8,1,0,0,0
104,1094,Supalai Wellington 2,13.76618061,100.5811824,id_1094.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,6,0,0,0,0
105,1095,Supattra Condotel,13.67762641,100.6234006,id_1095.shp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,0,0,0,0
106,1096,Supreme Classic,13.7088811,100.5378809,id_1096.shp,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,5,4,1,0,0,0,0,0,15,2,0,0,0
107,1097,Supreme Condo Ratchawithi 3,13.76300587,100.5407009,id_1097.shp,3,2,0,0,0,0,0,0,1,0,0,0,0,0,2,5,1,0,0,0,0,1,0,30,1,0,0,0,2,12,3,1,1,8,0,0,0,4,0,0,0,0
108,1098,Supreme Elegance,13.70573224,100.5404827,id_1098.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,6,0,0,0,0,0,4,5,1,0,0,0,0,0,35,3,0,0,0
